Time,Time Code,Country Name,Country Code,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted savings: education expenditure (% of GNI) [NY.ADJ.AEDU.GN.ZS],Adjusted savings: natural resources depletion (% of GNI) [NY.ADJ.DRES.GN.ZS]
2001,YR2001,Afghanistan,AFG,..,..,2.43943811214586,..
2001,YR2001,Australia,AUS,41.3441899719695,..,4.844,1.21954582957992
2001,YR2001,Canada,CAN,28.3350411924714,1.10088260714556,5.05,2.20622242709719
2001,YR2001,China,CHN,5.44116861510621,11.2870659540895,1.79,1.61431170449506
2001,YR2001,India,IND,1.34165682396216,1.07645889482578,3.95896769413193,1.24684587913777
2001,YR2001,Ireland,IRL,179.462876171228,4.05265373392332,4.21,0.0268633458986208
2001,YR2001,Iraq,IRQ,1.61711881731636,..,4.6,10.0256453614742
2001,YR2001,Malaysia,MYS,26.242651406097,-5.69703771183798,5.13,9.69198548143946
2002,YR2002,Afghanistan,AFG,0.356414355410747,..,2.4836190654167,..
2002,YR2002,Australia,AUS,44.4343661012367,..,4.858,1.2182718084888
2002,YR2002,Canada,CAN,29.2470472005511,2.99535156915303,4.96225986025518,1.59403359773112
2002,YR2002,China,CHN,5.93126230571711,12.0395796305403,1.79,1.26668323813628
2002,YR2002,India,IND,1.35994790913444,4.97528582413229,3.71689936594164,1.33359955157583
2002,YR2002,Ireland,IRL,197.272714872271,3.59241745910839,4.42,0.0182961194716421
2002,YR2002,Iraq,IRQ,1.52881717991597,..,4.6,8.17895011627298
2002,YR2002,Malaysia,MYS,27.4685064634505,16.2629489989693,4.81,8.90178988063197
2003,YR2003,Afghanistan,AFG,0.387893861444739,..,2.52780001868753,..
2003,YR2003,Australia,AUS,47.4007788917004,..,4.872,1.15449154491772
2003,YR2003,Canada,CAN,29.8320279875671,3.15783131559368,4.86150657350346,2.60354452441757
2003,YR2003,China,CHN,6.51908832469993,11.8727192140353,1.79,1.29589605664393
2003,YR2003,India,IND,1.43314859806127,9.61971161900522,3.47483103775143,1.2518675180737
2003,YR2003,Ireland,IRL,211.246411733766,5.01213217470267,4.56,0.0110599039560759
2003,YR2003,Iraq,IRQ,0.99815156023364,..,4.6,5.91994307674275
2003,YR2003,Malaysia,MYS,28.8614147906405,3.5128698855066,5.41,11.0561565096989
2004,YR2004,Afghanistan,AFG,0.393379138285033,..,2.57198097195837,..
2004,YR2004,Australia,AUS,51.1831725487347,..,4.886,1.27451430832021
2004,YR2004,Canada,CAN,30.8130542437322,5.60540390550963,4.76075328675174,2.52845609106588
2004,YR2004,China,CHN,7.17010340279093,10.79285272157,1.79,2.84839806898416
2004,YR2004,India,IND,1.6217495125622,10.2060023190099,3.22096484183526,1.4864141901327
2004,YR2004,Ireland,IRL,234.86453024812,2.74821980975813,4.9,0.0393712977581545
2004,YR2004,Iraq,IRQ,1.57954194105741,..,4.6,10.8100673515007
2004,YR2004,Malaysia,MYS,30.6115704718835,15.1337406354336,5.51,10.5017190651777
2005,YR2005,Afghanistan,AFG,0.437554493690146,..,2.6161619252292,..
2005,YR2005,Australia,AUS,54.7710014106937,..,4.9,1.85091148449415
2005,YR2005,Canada,CAN,31.8626528613549,3.78234760709523,4.66,3.31552316023806
2005,YR2005,China,CHN,7.97788209972119,12.7373676877255,1.79,3.24671233801847
2005,YR2005,India,IND,1.73992334546543,8.51164232882029,3.13,1.82951155967331
2005,YR2005,Ireland,IRL,258.997893247466,5.44452342322055,4.83,0.0529072680638003
2005,YR2005,Iraq,IRQ,1.65855561851951,..,4.6,11.1826580273168
2005,YR2005,Malaysia,MYS,32.0277773011595,1.18610207067307,4.69499999999989,12.1315084244091
2006,YR2006,Afghanistan,AFG,0.460996052361152,..,2.66034287850003,..
2006,YR2006,Australia,AUS,60.0516886143361,..,4.79,2.29756892548088
2006,YR2006,Canada,CAN,32.7661902784577,4.81947159666501,4.625,1.98663329044251
2006,YR2006,China,CHN,8.77267601016609,14.3412701560056,1.79,3.56281320155235
2006,YR2006,India,IND,1.86914817841921,7.6884001981492,3.08,2.07739510099009
2006,YR2006,Ireland,IRL,284.187243037389,4.30952111843825,4.81,0.309729573621018
